"Time","Process CPU - healthcareorchestration"
2024-08-09 12:19:00,
2024-08-09 12:20:00,
2024-08-09 12:21:00,
2024-08-09 12:22:00,
2024-08-09 12:23:00,
2024-08-09 12:24:00,15.5%
2024-08-09 12:25:00,15.9%
2024-08-09 12:26:00,22.8%
2024-08-09 12:27:00,24.1%
2024-08-09 12:28:00,23.0%
2024-08-09 12:29:00,24.6%
2024-08-09 12:30:00,20.9%
2024-08-09 12:31:00,6.33%
2024-08-09 12:32:00,1.42%
2024-08-09 12:33:00,1.40%
2024-08-09 12:34:00,1.41%
2024-08-09 12:35:00,1.39%
2024-08-09 12:36:00,1.41%
2024-08-09 12:37:00,1.39%
2024-08-09 12:38:00,1.41%
