"Time","Server response time - healthcareorchestration"
2024-08-09 12:19:00,
2024-08-09 12:20:00,
2024-08-09 12:21:00,
2024-08-09 12:22:00,
2024-08-09 12:23:00,2.35 s
2024-08-09 12:24:00,2.23 s
2024-08-09 12:25:00,2.79 s
2024-08-09 12:26:00,1.50 s
2024-08-09 12:27:00,1.03 s
2024-08-09 12:28:00,760 ms
2024-08-09 12:29:00,603 ms
2024-08-09 12:30:00,577 ms
2024-08-09 12:31:00,
2024-08-09 12:32:00,
2024-08-09 12:33:00,
2024-08-09 12:34:00,
2024-08-09 12:35:00,
2024-08-09 12:36:00,
2024-08-09 12:37:00,
2024-08-09 12:38:00,
