"Time","Process CPU - healthcareorchestration"
2024-08-08 17:34:00,
2024-08-08 17:35:00,
2024-08-08 17:36:00,
2024-08-08 17:37:00,
2024-08-08 17:38:00,
2024-08-08 17:39:00,
2024-08-08 17:40:00,
2024-08-08 17:41:00,0.999%
2024-08-08 17:42:00,1.14%
2024-08-08 17:43:00,0.850%
2024-08-08 17:44:00,4.28%
2024-08-08 17:45:00,16.8%
2024-08-08 17:46:00,24.2%
2024-08-08 17:47:00,25.5%
2024-08-08 17:48:00,25.4%
2024-08-08 17:49:00,25.5%
2024-08-08 17:50:00,25.7%
2024-08-08 17:51:00,22.6%
2024-08-08 17:52:00,5.35%
2024-08-08 17:53:00,1.26%
2024-08-08 17:54:00,1.25%
2024-08-08 17:55:00,1.26%
2024-08-08 17:56:00,1.27%
2024-08-08 17:57:00,1.27%
2024-08-08 17:58:00,1.26%
2024-08-08 17:59:00,1.25%
2024-08-08 18:00:00,1.28%
2024-08-08 18:01:00,1.29%
2024-08-08 18:02:00,1.26%
2024-08-08 18:03:00,1.29%
2024-08-08 18:04:00,1.24%
