"Time","Process CPU - healthcareorchestration"
2024-08-09 09:00:00,
2024-08-09 09:01:00,
2024-08-09 09:02:00,
2024-08-09 09:03:00,
2024-08-09 09:04:00,
2024-08-09 09:05:00,
2024-08-09 09:06:00,
2024-08-09 09:07:00,
2024-08-09 09:08:00,
2024-08-09 09:09:00,
2024-08-09 09:10:00,32.8%
2024-08-09 09:11:00,22.6%
2024-08-09 09:12:00,25.3%
2024-08-09 09:13:00,25.2%
2024-08-09 09:14:00,24.6%
2024-08-09 09:15:00,23.9%
2024-08-09 09:16:00,22.9%
2024-08-09 09:17:00,8.80%
2024-08-09 09:18:00,1.44%
2024-08-09 09:19:00,1.41%
2024-08-09 09:20:00,1.42%
2024-08-09 09:21:00,1.41%
2024-08-09 09:22:00,1.41%
2024-08-09 09:23:00,1.41%
2024-08-09 09:24:00,1.44%
