"Time","192.168.49.2:9100"
2024-08-06 11:02:00,124%
2024-08-06 11:03:00,169%
2024-08-06 11:04:00,102%
2024-08-06 11:05:00,52.8%
2024-08-06 11:06:00,22%
2024-08-06 11:07:00,211%
2024-08-06 11:08:00,272%
2024-08-06 11:09:00,307%
2024-08-06 11:10:00,253%
2024-08-06 11:11:00,420%
2024-08-06 11:12:00,401%
2024-08-06 11:13:00,366%
2024-08-06 11:14:00,261%
2024-08-06 11:15:00,105%
2024-08-06 11:16:00,46.3%
2024-08-06 11:17:00,28.7%
2024-08-06 11:18:00,30%
2024-08-06 11:19:00,14.5%
2024-08-06 11:20:00,32.8%
2024-08-06 11:21:00,444%
2024-08-06 11:22:00,705%
2024-08-06 11:23:00,572%
2024-08-06 11:24:00,676%
2024-08-06 11:25:00,648%
2024-08-06 11:28:00,699%
2024-08-06 11:29:00,307%
2024-08-06 11:30:00,119%
2024-08-06 11:31:00,53.5%
2024-08-06 11:32:00,23%
2024-08-06 11:33:00,8.25%
2024-08-06 11:34:00,7.25%
2024-08-06 11:35:00,142%
2024-08-06 11:37:00,1189%
2024-08-06 11:42:00,1859%
2024-08-06 11:43:00,1267%
2024-08-06 11:44:00,876%
