"Time","192.168.49.2:10250"
2024-08-06 10:24:00,0.0305
2024-08-06 10:25:00,0.0552
2024-08-06 10:26:00,0.0577
2024-08-06 10:27:00,0.0591
2024-08-06 10:28:00,0.0609
2024-08-06 10:29:00,0.0619
2024-08-06 10:30:00,0.0599
2024-08-06 10:31:00,0.0587
2024-08-06 10:32:00,0.0590
2024-08-06 10:33:00,0.0592
2024-08-06 10:34:00,0.0588
2024-08-06 10:35:00,0.0598
2024-08-06 10:36:00,0.0583
2024-08-06 10:37:00,0.0583
2024-08-06 10:38:00,0.0589
2024-08-06 10:39:00,0.0578
2024-08-06 10:40:00,0.0578
2024-08-06 10:41:00,0.0574
2024-08-06 10:42:00,0.0583
2024-08-06 10:43:00,0.0584
2024-08-06 10:44:00,0.0574
2024-08-06 10:45:00,0.0579
2024-08-06 10:46:00,0.0592
2024-08-06 10:47:00,0.0583
2024-08-06 10:48:00,0.0583
2024-08-06 10:49:00,0.0580
2024-08-06 10:50:00,0.0584
2024-08-06 10:51:00,0.0581
2024-08-06 10:52:00,0.0583
2024-08-06 10:53:00,0.0570
2024-08-06 10:54:00,0.0571
2024-08-06 10:55:00,0.0569
2024-08-06 10:56:00,0.0582
2024-08-06 10:57:00,0.0682
2024-08-06 10:58:00,0.0699
2024-08-06 10:59:00,0.0707
2024-08-06 11:00:00,0.0681
2024-08-06 11:01:00,0.0681
2024-08-06 11:02:00,0.0696
2024-08-06 11:03:00,0.0686
2024-08-06 11:04:00,0.0670
2024-08-06 11:05:00,0.0627
2024-08-06 11:06:00,0.0581
2024-08-06 11:07:00,0.0710
2024-08-06 11:08:00,0.0826
2024-08-06 11:09:00,0.0842
2024-08-06 11:10:00,0.0821
2024-08-06 11:11:00,0.0828
2024-08-06 11:12:00,0.0829
2024-08-06 11:13:00,0.0841
2024-08-06 11:14:00,0.0818
2024-08-06 11:15:00,0.0721
2024-08-06 11:16:00,0.0613
2024-08-06 11:17:00,0.0587
2024-08-06 11:18:00,0.0587
2024-08-06 11:19:00,0.0586
2024-08-06 11:20:00,0.0621
2024-08-06 11:21:00,0.0566
2024-08-06 11:22:00,0.0945
2024-08-06 11:29:00,0.0655
2024-08-06 11:30:00,0.0577
2024-08-06 11:31:00,0.0582
2024-08-06 11:32:00,0.0603
2024-08-06 11:33:00,0.0608
2024-08-06 11:34:00,0.0596
2024-08-06 11:35:00,0.0672
2024-08-06 11:36:00,0.0622
2024-08-06 13:14:00,0.0580
2024-08-06 13:15:00,0.0727
2024-08-06 13:16:00,0.0750
2024-08-06 13:17:00,0.0748
2024-08-06 13:18:00,0.0730
2024-08-06 13:19:00,0.0737
2024-08-06 13:20:00,0.0729
2024-08-06 13:21:00,0.0707
2024-08-06 13:22:00,0.0699
2024-08-06 13:23:00,0.0680
2024-08-06 13:24:00,0.0700
2024-08-06 13:25:00,0.0713
2024-08-06 13:26:00,0.0729
2024-08-06 13:27:00,0.0736
2024-08-06 13:28:00,0.0761
2024-08-06 13:29:00,0.0744
2024-08-06 13:30:00,0.0724
2024-08-06 13:31:00,0.0734
2024-08-06 13:32:00,0.0734
2024-08-06 13:33:00,0.0717
2024-08-06 13:34:00,0.0696
2024-08-06 13:35:00,0.0679
2024-08-06 13:36:00,0.0721
2024-08-06 13:37:00,0.0717
2024-08-06 13:38:00,0.0721
2024-08-06 13:39:00,0.0720
2024-08-06 13:40:00,0.0712
2024-08-06 13:41:00,0.0704
2024-08-06 13:42:00,0.0716
2024-08-06 13:43:00,0.0718
2024-08-06 13:44:00,0.0708
2024-08-06 13:45:00,0.0694
2024-08-06 13:46:00,0.0702
2024-08-06 13:47:00,0.0698
2024-08-06 13:48:00,0.0721
2024-08-06 13:49:00,0.0716
