"Time","192.168.49.2:9100 sda"
2024-08-06 11:02:00,6.81%
2024-08-06 11:03:00,6.73%
2024-08-06 11:04:00,7.16%
2024-08-06 11:05:00,7.49%
2024-08-06 11:06:00,7.32%
2024-08-06 11:07:00,10.8%
2024-08-06 11:08:00,11.4%
2024-08-06 11:09:00,11.6%
2024-08-06 11:10:00,12.1%
2024-08-06 11:11:00,11.6%
2024-08-06 11:12:00,10.2%
2024-08-06 11:13:00,10.7%
2024-08-06 11:14:00,10.9%
2024-08-06 11:15:00,11.6%
2024-08-06 11:16:00,10.5%
2024-08-06 11:17:00,9.69%
2024-08-06 11:18:00,8.53%
2024-08-06 11:19:00,6.44%
2024-08-06 11:20:00,6.91%
2024-08-06 11:21:00,15.0%
2024-08-06 11:22:00,17.7%
2024-08-06 11:23:00,23.1%
2024-08-06 11:24:00,25.9%
2024-08-06 11:25:00,23.4%
2024-08-06 11:26:00,17.4%
2024-08-06 11:27:00,16.1%
2024-08-06 11:28:00,40.1%
2024-08-06 11:29:00,42.5%
2024-08-06 11:30:00,40.6%
2024-08-06 11:31:00,21.2%
2024-08-06 11:32:00,9.74%
2024-08-06 11:33:00,6.19%
2024-08-06 11:34:00,6.06%
2024-08-06 11:35:00,8.30%
2024-08-06 11:36:00,13.6%
2024-08-06 11:37:00,23.1%
2024-08-06 11:38:00,26.4%
2024-08-06 11:39:00,26.4%
2024-08-06 11:40:00,26.4%
2024-08-06 11:41:00,26.4%
2024-08-06 11:42:00,80.1%
2024-08-06 11:43:00,22.8%
2024-08-06 11:44:00,39.5%
2024-08-06 11:45:00,39.4%
2024-08-06 11:46:00,39.4%
2024-08-06 11:47:00,40.5%
2024-08-06 11:48:00,40.5%
2024-08-06 11:49:00,40.5%
2024-08-06 11:50:00,40.5%
2024-08-06 11:51:00,40.5%
