"Time","192.168.49.2:9100 sda"
2024-08-06 11:02:00,4.64%
2024-08-06 11:03:00,4.65%
2024-08-06 11:04:00,5.02%
2024-08-06 11:05:00,5.18%
2024-08-06 11:06:00,5.15%
2024-08-06 11:07:00,6.87%
2024-08-06 11:08:00,7.20%
2024-08-06 11:09:00,7.12%
2024-08-06 11:10:00,7.34%
2024-08-06 11:11:00,7.06%
2024-08-06 11:12:00,6.39%
2024-08-06 11:13:00,6.62%
2024-08-06 11:14:00,6.98%
2024-08-06 11:15:00,7.42%
2024-08-06 11:16:00,7.00%
2024-08-06 11:17:00,6.59%
2024-08-06 11:18:00,5.99%
2024-08-06 11:19:00,4.83%
2024-08-06 11:20:00,5.05%
2024-08-06 11:21:00,7.90%
2024-08-06 11:22:00,9.47%
2024-08-06 11:23:00,11.8%
2024-08-06 11:24:00,14.0%
2024-08-06 11:25:00,14.3%
2024-08-06 11:26:00,13.2%
2024-08-06 11:27:00,12.3%
2024-08-06 11:28:00,25.2%
2024-08-06 11:29:00,25.8%
2024-08-06 11:30:00,22.9%
2024-08-06 11:31:00,12.3%
2024-08-06 11:32:00,6.71%
2024-08-06 11:33:00,4.89%
2024-08-06 11:34:00,4.64%
2024-08-06 11:35:00,5.85%
2024-08-06 11:36:00,7.17%
2024-08-06 11:37:00,11.3%
2024-08-06 11:38:00,13.6%
2024-08-06 11:39:00,13.6%
2024-08-06 11:40:00,13.6%
2024-08-06 11:41:00,13.6%
2024-08-06 11:42:00,39.5%
2024-08-06 11:43:00,11.0%
2024-08-06 11:44:00,19.2%
2024-08-06 11:45:00,19.1%
2024-08-06 11:46:00,19.1%
2024-08-06 11:47:00,19.7%
2024-08-06 11:48:00,19.7%
2024-08-06 11:49:00,19.7%
2024-08-06 11:50:00,19.7%
2024-08-06 11:51:00,19.7%
