"Time","192.168.49.2:9100"
2024-08-06 11:02:00,0.0222 rds
2024-08-06 11:03:00,0.0407 rds
2024-08-06 11:04:00,0.0370 rds
2024-08-06 11:05:00,0.0370 rds
2024-08-06 11:06:00,0.0296 rds
2024-08-06 11:07:00,0.0333 rds
2024-08-06 11:08:00,0.0296 rds
2024-08-06 11:09:00,0.0296 rds
2024-08-06 11:10:00,0.0407 rds
2024-08-06 11:11:00,0.0259 rds
2024-08-06 11:12:00,0.0185 rds
2024-08-06 11:13:00,0.0259 rds
2024-08-06 11:14:00,0.0185 rds
2024-08-06 11:15:00,0.0148 rds
2024-08-06 11:16:00,0.00741 rds
2024-08-06 11:17:00,0.00370 rds
2024-08-06 11:18:00,0 rds
2024-08-06 11:19:00,0 rds
2024-08-06 11:20:00,0.00741 rds
2024-08-06 11:21:00,0.0333 rds
2024-08-06 11:22:00,0.914 rds
2024-08-06 11:23:00,8.12 rds
2024-08-06 11:24:00,13.3 rds
2024-08-06 11:25:00,18.3 rds
2024-08-06 11:26:00,22.8 rds
2024-08-06 11:27:00,22.9 rds
2024-08-06 11:28:00,308 rds
2024-08-06 11:29:00,307 rds
2024-08-06 11:30:00,300 rds
2024-08-06 11:31:00,90.9 rds
2024-08-06 11:32:00,4.10 rds
2024-08-06 11:33:00,13.1 rds
2024-08-06 11:34:00,12.2 rds
2024-08-06 11:35:00,14.1 rds
2024-08-06 11:36:00,14.4 rds
2024-08-06 11:37:00,9.10 rds
2024-08-06 11:38:00,37.4 rds
2024-08-06 11:39:00,37.4 rds
2024-08-06 11:40:00,37.4 rds
2024-08-06 11:41:00,37.4 rds
2024-08-06 11:42:00,912 rds
2024-08-06 11:43:00,434 rds
2024-08-06 11:44:00,724 rds
2024-08-06 11:45:00,723 rds
2024-08-06 11:46:00,723 rds
2024-08-06 11:47:00,744 rds
2024-08-06 11:48:00,744 rds
2024-08-06 11:49:00,744 rds
2024-08-06 11:50:00,744 rds
2024-08-06 11:51:00,744 rds
