"Time","100 -
(
  avg(node_memory_MemAvailable_bytes{job=""node-exporter"", instance=""192.168.49.2:9100"", cluster=""""}) /
  avg(node_memory_MemTotal_bytes{job=""node-exporter"", instance=""192.168.49.2:9100"", cluster=""""})
* 100
)
"
2024-08-06 10:30:00,23.4%
2024-08-06 10:31:00,23.8%
2024-08-06 10:32:00,23.8%
2024-08-06 10:33:00,23.9%
2024-08-06 10:34:00,24.0%
2024-08-06 10:35:00,24.1%
2024-08-06 10:36:00,24.2%
2024-08-06 10:37:00,24.3%
2024-08-06 10:38:00,24.3%
2024-08-06 10:39:00,24.2%
2024-08-06 10:40:00,24.2%
2024-08-06 10:41:00,24.3%
2024-08-06 10:42:00,24.3%
2024-08-06 10:43:00,24.4%
2024-08-06 10:44:00,24.4%
2024-08-06 10:45:00,24.4%
2024-08-06 10:46:00,24.5%
2024-08-06 10:47:00,24.3%
2024-08-06 10:48:00,24.5%
2024-08-06 10:49:00,24.3%
2024-08-06 10:50:00,24.3%
2024-08-06 10:51:00,24.5%
2024-08-06 10:52:00,24.5%
2024-08-06 10:53:00,24.6%
2024-08-06 10:54:00,24.7%
2024-08-06 10:55:00,24.7%
2024-08-06 10:56:00,25.2%
2024-08-06 10:57:00,28.5%
2024-08-06 10:58:00,27.7%
2024-08-06 10:59:00,27.8%
2024-08-06 11:00:00,27.9%
2024-08-06 11:01:00,27.9%
2024-08-06 11:02:00,28.0%
2024-08-06 11:03:00,27.9%
2024-08-06 11:04:00,26.3%
2024-08-06 11:05:00,25.2%
2024-08-06 11:06:00,25.2%
2024-08-06 11:07:00,33.3%
2024-08-06 11:08:00,32.8%
2024-08-06 11:09:00,33.1%
2024-08-06 11:10:00,32.6%
2024-08-06 11:11:00,32.6%
2024-08-06 11:12:00,32.5%
2024-08-06 11:13:00,33.3%
2024-08-06 11:14:00,30.8%
2024-08-06 11:15:00,26.5%
2024-08-06 11:16:00,26.4%
2024-08-06 11:17:00,26.4%
2024-08-06 11:18:00,26.4%
2024-08-06 11:19:00,26.3%
2024-08-06 11:20:00,27.7%
2024-08-06 11:21:00,38.1%
2024-08-06 11:22:00,42.3%
2024-08-06 11:23:00,43.2%
2024-08-06 11:24:00,44.6%
2024-08-06 11:25:00,45.8%
2024-08-06 11:27:00,47.3%
2024-08-06 11:28:00,41.2%
2024-08-06 11:29:00,29.8%
2024-08-06 11:30:00,29.1%
2024-08-06 11:31:00,29.2%
2024-08-06 11:32:00,29.1%
2024-08-06 11:33:00,29.1%
2024-08-06 11:34:00,28.9%
2024-08-06 11:35:00,32.4%
2024-08-06 11:37:00,49.0%
2024-08-06 11:42:00,51.2%
2024-08-06 11:43:00,51.4%
2024-08-06 11:44:00,51.2%
2024-08-06 11:47:00,51.2%
