"Time","bridge","docker0","eth0","veth01a6ac76","veth0211530c","veth0234f463","veth095ccf99","veth09fc6497","veth0dca6e3b","veth0e5b09c6","veth0e6e8803","veth10310afa","veth1114f364","veth1260770c","veth14a2cae0","veth15350510","veth155f3c14","veth1a9dd849","veth1c86f991","veth1db7fd03","veth1e828a69","veth1fd00601","veth240b4ac8","veth249ec89a","veth25e5fe10","veth2a0ce8ce","veth2ee297b3","veth30080dd8","veth345651a8","veth3578fa28","veth35f4f6fc","veth36f70b17","veth3ec638e7","veth420b0c04","veth444db845","veth4829be4d","veth4861d528","veth488da0c0","veth4dfd4739","veth4e37fdcc","veth4fccb74b","veth51240912","veth5470031b","veth55075a81","veth576f5b62","veth590a9ae6","veth59196279","veth5a3a58df","veth5b97bf53","veth627bb0e6","veth629c4bb3","veth64641599","veth650b5fbf","veth65f4ea62","veth6777f056","veth68d2f999","veth6999996c","veth749207fa","veth74c9528a","veth755d0beb","veth766d1ffe","veth7746075f","veth7a06f0fe","veth893d5527","veth8c40260e","veth8e6106ef","veth940b1ae1","veth946bbde2","veth94b321b9","veth9598317f","veth96f88ad7","veth99555519","veth99c01c74","veth9a618b5b","veth9b1a77f2","veth9b68ab67","veth9d559303","veth9e642517","vetha50dd743","vethade4120f","vethb2336cde","vethb72949f2","vethb7374b3a","vethb7bf3ce2","vethb7c87081","vethb8ad98c3","vethbd687bbb","vethc022ee9a","vethc4907b93","vethc5d9a524","vethc71ab38d","vethcb4dbaf2","vethcbb75661","vethcd6e4895","vethceb23101","vethd0af2230","vethd2b262bc","vethd6620c3c","vethd8230b0e","vethd953c16b","vethe142d306","vethe257ed4a","vethe78643e9","vethe9c25da0","vethea7d9db4","vetheab5d371","vetheea376e2","vethf179028c","vethf2b3e8cd","vethf3ebe70e","vethf4c4954c","vethf8440dfd","vethf8bd0d42","vethfd5040f4"
2024-08-06 10:31:00,480 kb/s,0 b/s,44.7 kb/s,,,,,4.35 kb/s,,1.74 kb/s,,,,,,,,,9.71 kb/s,,1.67 kb/s,,,,,,,3.95 kb/s,,,,,,,,,31.3 kb/s,,,154 kb/s,,,30.1 kb/s,,,,,,24.5 kb/s,,,,,,,,43.6 b/s,,,,252 kb/s,,15.6 kb/s,,,5.85 kb/s,,10.3 kb/s,,,,26.0 kb/s,4.21 kb/s,,28.9 kb/s,,,,,,,,,42.8 kb/s,,,,,,,43.6 b/s,,3.17 kb/s,,7.67 kb/s,,,,,,,,,,3.67 kb/s,,,,,,,,,
2024-08-06 10:31:30,403 kb/s,0 b/s,40.6 kb/s,,,,,4.16 kb/s,,1.75 kb/s,,,,,,,,,9.74 kb/s,,1.48 kb/s,,,,,,,3.96 kb/s,,,,,,,,,30.5 kb/s,,,77.8 kb/s,,,30.3 kb/s,,,,,,24.3 kb/s,,,,,,,,68.4 b/s,,,,252 kb/s,,15.6 kb/s,,,5.95 kb/s,,10.2 kb/s,,,,25.6 kb/s,4.23 kb/s,,28.6 kb/s,,,,,,,,,43.1 kb/s,,,,,,,68.4 b/s,,3.24 kb/s,,7.79 kb/s,,,,,,,,,,3.69 kb/s,,,,,,,,,
2024-08-06 10:32:00,481 kb/s,0 b/s,33.4 kb/s,,,,,4.25 kb/s,,1.77 kb/s,,,,,,,,,9.82 kb/s,,3.64 kb/s,,,,,,,3.98 kb/s,,,,,,,,,30.7 kb/s,,,152 kb/s,,,30.1 kb/s,,,,,,24.5 kb/s,,,,,,,,99.6 b/s,,,,251 kb/s,,15.6 kb/s,,,5.95 kb/s,,10.3 kb/s,,,,25.9 kb/s,4.19 kb/s,,28.8 kb/s,,,,,,,,,42.9 kb/s,,,,,,,99.6 b/s,,3.20 kb/s,,7.80 kb/s,,,,,,,,,,3.72 kb/s,,,,,,,,,
2024-08-06 10:32:30,404 kb/s,0 b/s,28.9 kb/s,,,,,4.15 kb/s,,1.75 kb/s,,,,,,,,,9.78 kb/s,,3.54 kb/s,,,,,,,3.92 kb/s,,,,,,,,,30.4 kb/s,,,76.5 kb/s,,,29.9 kb/s,,,,,,24.2 kb/s,,,,,,,,80.9 b/s,,,,251 kb/s,,15.6 kb/s,,,6.01 kb/s,,10.1 kb/s,,,,25.7 kb/s,4.24 kb/s,,28.7 kb/s,,,,,,,,,42.9 kb/s,,,,,,,80.9 b/s,,3.21 kb/s,,7.80 kb/s,,,,,,,,,,3.70 kb/s,,,,,,,,,
2024-08-06 10:33:00,481 kb/s,0 b/s,27.4 kb/s,,,,,4.19 kb/s,,1.74 kb/s,,,,,,,,,9.74 kb/s,,3.54 kb/s,,,,,,,3.95 kb/s,,,,,,,,,31.5 kb/s,,,152 kb/s,,,30.0 kb/s,,,,,,24.4 kb/s,,,,,,,,62.2 b/s,,,,251 kb/s,,15.6 kb/s,,,5.99 kb/s,,10.2 kb/s,,,,25.8 kb/s,4.22 kb/s,,28.7 kb/s,,,,,,,,,42.6 kb/s,,,,,,,62.2 b/s,,3.19 kb/s,,7.72 kb/s,,,,,,,,,,3.69 kb/s,,,,,,,,,
2024-08-06 10:33:30,403 kb/s,0 b/s,27.4 kb/s,,,,,4.18 kb/s,,1.88 kb/s,,,,,,,,,9.73 kb/s,,1.45 kb/s,,,,,,,3.95 kb/s,,,,,,,,,30.6 kb/s,,,77.1 kb/s,,,30.1 kb/s,,,,,,24.1 kb/s,,,,,,,,31.1 b/s,,,,251 kb/s,,15.7 kb/s,,,5.93 kb/s,,9.98 kb/s,,,,25.4 kb/s,4.27 kb/s,,28.5 kb/s,,,,,,,,,42.6 kb/s,,,,,,,31.1 b/s,,3.31 kb/s,,7.74 kb/s,,,,,,,,,,3.65 kb/s,,,,,,,,,
2024-08-06 10:34:00,479 kb/s,0 b/s,27.5 kb/s,,,,,4.18 kb/s,,2.03 kb/s,,,,,,,,,9.68 kb/s,,1.20 kb/s,,,,,,,3.92 kb/s,,,,,,,,,30.7 kb/s,,,153 kb/s,,,30.1 kb/s,,,,,,24.4 kb/s,,,,,,,,12.4 b/s,,,,251 kb/s,,15.6 kb/s,,,5.90 kb/s,,10.1 kb/s,,,,25.4 kb/s,4.14 kb/s,,28.5 kb/s,,,,,,,,,42.5 kb/s,,,,,,,12.4 b/s,,3.28 kb/s,,7.73 kb/s,,,,,,,,,,3.64 kb/s,,,,,,,,,
2024-08-06 10:34:30,402 kb/s,0 b/s,29.0 kb/s,,,,,4.19 kb/s,,2.02 kb/s,,,,,,,,,9.74 kb/s,,1.18 kb/s,,,,,,,3.85 kb/s,,,,,,,,,30.1 kb/s,,,77.1 kb/s,,,30.1 kb/s,,,,,,24.1 kb/s,,,,,,,,6.22 b/s,,,,251 kb/s,,15.6 kb/s,,,5.80 kb/s,,10.0 kb/s,,,,25.3 kb/s,4.15 kb/s,,28.4 kb/s,,,,,,,,,42.7 kb/s,,,,,,,6.22 b/s,,3.23 kb/s,,7.76 kb/s,,,,,,,,,,3.62 kb/s,,,,,,,,,
2024-08-06 10:35:00,479 kb/s,0 b/s,29.0 kb/s,,,,,4.11 kb/s,,2.03 kb/s,,,,,,,,,9.59 kb/s,,2.95 kb/s,,,,,,,3.80 kb/s,,,,,,,,,30.8 kb/s,,,152 kb/s,,,30.1 kb/s,,,,,,24.2 kb/s,,,,,,,,0 b/s,,,,251 kb/s,,15.5 kb/s,,,5.81 kb/s,,10.2 kb/s,,,,25.6 kb/s,4.11 kb/s,,28.5 kb/s,,,,,,,,,42.7 kb/s,,,,,,,0 b/s,,3.09 kb/s,,7.72 kb/s,,,,,,,,,,3.62 kb/s,,,,,,,,,
2024-08-06 10:35:30,404 kb/s,0 b/s,29.0 kb/s,,,,,4.23 kb/s,,2.03 kb/s,,,,,,,,,9.69 kb/s,,2.94 kb/s,,,,,,,3.81 kb/s,,,,,,,,,30.4 kb/s,,,76.5 kb/s,,,30.2 kb/s,,,,,,24.1 kb/s,,,,,,,,0 b/s,,,,251 kb/s,,15.5 kb/s,,,5.83 kb/s,,10.2 kb/s,,,,25.4 kb/s,4.24 kb/s,,28.5 kb/s,,,,,,,,,43.0 kb/s,,,,,,,0 b/s,,3.07 kb/s,,7.77 kb/s,,,,,,,,,,3.63 kb/s,,,,,,,,,
