"Time","Average Concurrency","Average Panic Concurrency","Target Concurrency","Excess Burst Capacity"
2024-08-06 05:55:36,3.28,4.19,,
2024-08-06 05:55:38,3.28,4.19,,
2024-08-06 05:55:40,3.28,4.19,,
2024-08-06 05:55:42,3.28,4.19,,
2024-08-06 05:55:44,3.28,4.19,,
2024-08-06 05:55:46,3.28,4.19,,
2024-08-06 05:55:48,3.28,4.19,,
2024-08-06 05:55:50,3.28,4.19,,
2024-08-06 05:55:52,3.28,4.19,,
2024-08-06 05:55:54,3.28,4.19,,
2024-08-06 05:55:56,3.28,4.19,,
2024-08-06 05:55:58,3.28,4.19,,
2024-08-06 05:56:00,3.28,4.19,8,-206
2024-08-06 05:56:02,3.28,4.19,,
2024-08-06 05:56:04,3.28,4.19,,
2024-08-06 05:56:06,22.7,39.6,,
2024-08-06 05:56:08,22.7,39.6,,
2024-08-06 05:56:10,22.7,39.6,,
2024-08-06 05:56:12,22.7,39.6,,
2024-08-06 05:56:14,22.7,39.6,,
2024-08-06 05:56:16,22.7,39.6,,
2024-08-06 05:56:18,22.7,39.6,,
2024-08-06 05:56:20,22.7,39.6,,
2024-08-06 05:56:22,22.7,39.6,,
2024-08-06 05:56:24,22.7,39.6,,
2024-08-06 05:56:26,22.7,39.6,,
2024-08-06 05:56:28,22.7,39.6,,
2024-08-06 05:56:30,22.7,39.6,8,-201
2024-08-06 05:56:32,22.7,39.6,,
2024-08-06 05:56:34,22.7,39.6,,
2024-08-06 05:56:36,31.9,35.9,,
2024-08-06 05:56:38,31.9,35.9,,
2024-08-06 05:56:40,31.9,35.9,,
2024-08-06 05:56:42,31.9,35.9,,
2024-08-06 05:56:44,31.9,35.9,,
2024-08-06 05:56:46,31.9,35.9,,
2024-08-06 05:56:48,31.9,35.9,,
2024-08-06 05:56:50,31.9,35.9,,
2024-08-06 05:56:52,31.9,35.9,,
2024-08-06 05:56:54,31.9,35.9,,
2024-08-06 05:56:56,31.9,35.9,,
2024-08-06 05:56:58,31.9,35.9,,
2024-08-06 05:57:00,31.9,35.9,8,-187
2024-08-06 05:57:02,31.9,35.9,,
2024-08-06 05:57:04,31.9,35.9,,
2024-08-06 05:57:06,36.8,38.5,,
2024-08-06 05:57:08,36.8,38.5,,
2024-08-06 05:57:10,36.8,38.5,,
2024-08-06 05:57:12,36.8,38.5,,
2024-08-06 05:57:14,36.8,38.5,,
2024-08-06 05:57:16,36.8,38.5,,
2024-08-06 05:57:18,36.8,38.5,,
2024-08-06 05:57:20,36.8,38.5,,
2024-08-06 05:57:22,36.8,38.5,,
2024-08-06 05:57:24,36.8,38.5,,
2024-08-06 05:57:26,36.8,38.5,,
2024-08-06 05:57:28,36.8,38.5,,
2024-08-06 05:57:30,36.8,38.5,8,-200
2024-08-06 05:57:32,36.8,38.5,,
2024-08-06 05:57:34,36.8,38.5,,
2024-08-06 05:57:36,36.3,34.7,,
2024-08-06 05:57:38,36.3,34.7,,
2024-08-06 05:57:40,36.3,34.7,,
2024-08-06 05:57:42,36.3,34.7,,
2024-08-06 05:57:44,36.3,34.7,,
2024-08-06 05:57:46,36.3,34.7,,
2024-08-06 05:57:48,36.3,34.7,,
2024-08-06 05:57:50,36.3,34.7,,
2024-08-06 05:57:52,36.3,34.7,,
2024-08-06 05:57:54,36.3,34.7,,
2024-08-06 05:57:56,36.3,34.7,,
2024-08-06 05:57:58,36.3,34.7,,
2024-08-06 05:58:00,36.3,34.7,8,-196
2024-08-06 05:58:02,36.3,34.7,,
2024-08-06 05:58:04,36.3,34.7,,
2024-08-06 05:58:06,36.1,37.9,,
2024-08-06 05:58:08,36.1,37.9,,
2024-08-06 05:58:10,36.1,37.9,,
2024-08-06 05:58:12,36.1,37.9,,
2024-08-06 05:58:14,36.1,37.9,,
2024-08-06 05:58:16,36.1,37.9,,
2024-08-06 05:58:18,36.1,37.9,,
2024-08-06 05:58:20,36.1,37.9,,
2024-08-06 05:58:22,36.1,37.9,,
2024-08-06 05:58:24,36.1,37.9,,
2024-08-06 05:58:26,36.1,37.9,,
2024-08-06 05:58:28,36.1,37.9,,
2024-08-06 05:58:30,36.1,37.9,8,-199
2024-08-06 05:58:32,36.1,37.9,,
2024-08-06 05:58:34,36.1,37.9,,
2024-08-06 05:58:36,37.8,38.2,,
2024-08-06 05:58:38,37.8,38.2,,
2024-08-06 05:58:40,37.8,38.2,,
2024-08-06 05:58:42,37.8,38.2,,
2024-08-06 05:58:44,37.8,38.2,,
2024-08-06 05:58:46,37.8,38.2,,
2024-08-06 05:58:48,37.8,38.2,,
2024-08-06 05:58:50,37.8,38.2,,
2024-08-06 05:58:52,37.8,38.2,,
2024-08-06 05:58:54,37.8,38.2,,
2024-08-06 05:58:56,37.8,38.2,,
2024-08-06 05:58:58,37.8,38.2,,
2024-08-06 05:59:00,37.8,38.2,8,-200
2024-08-06 05:59:02,37.8,38.2,,
2024-08-06 05:59:04,37.8,38.2,,
2024-08-06 05:59:06,38.1,38.0,,
2024-08-06 05:59:08,38.1,38.0,,
2024-08-06 05:59:10,38.1,38.0,,
2024-08-06 05:59:12,38.1,38.0,,
2024-08-06 05:59:14,38.1,38.0,,
2024-08-06 05:59:16,38.1,38.0,,
2024-08-06 05:59:18,38.1,38.0,,
2024-08-06 05:59:20,38.1,38.0,,
2024-08-06 05:59:22,38.1,38.0,,
2024-08-06 05:59:24,38.1,38.0,,
2024-08-06 05:59:26,38.1,38.0,,
2024-08-06 05:59:28,38.1,38.0,,
2024-08-06 05:59:30,38.1,38.0,8,-199
2024-08-06 05:59:32,38.1,38.0,,
2024-08-06 05:59:34,38.1,38.0,,
2024-08-06 05:59:36,38.1,38.2,,
2024-08-06 05:59:38,38.1,38.2,,
2024-08-06 05:59:40,38.1,38.2,,
2024-08-06 05:59:42,38.1,38.2,,
2024-08-06 05:59:44,38.1,38.2,,
2024-08-06 05:59:46,38.1,38.2,,
2024-08-06 05:59:48,38.1,38.2,,
2024-08-06 05:59:50,38.1,38.2,,
2024-08-06 05:59:52,38.1,38.2,,
2024-08-06 05:59:54,38.1,38.2,,
2024-08-06 05:59:56,38.1,38.2,,
2024-08-06 05:59:58,38.1,38.2,,
2024-08-06 06:00:00,38.1,38.2,8,-200
2024-08-06 06:00:02,38.1,38.2,,
2024-08-06 06:00:04,38.1,38.2,,
2024-08-06 06:00:06,38.1,38.0,,
2024-08-06 06:00:08,38.1,38.0,,
2024-08-06 06:00:10,38.1,38.0,,
2024-08-06 06:00:12,38.1,38.0,,
2024-08-06 06:00:14,38.1,38.0,,
2024-08-06 06:00:16,38.1,38.0,,
2024-08-06 06:00:18,38.1,38.0,,
2024-08-06 06:00:20,38.1,38.0,,
2024-08-06 06:00:22,38.1,38.0,,
2024-08-06 06:00:24,38.1,38.0,,
2024-08-06 06:00:26,38.1,38.0,,
2024-08-06 06:00:28,38.1,38.0,,
