"Time","192.168.49.2:10250"
2024-08-06 10:24:00,92.7 ms
2024-08-06 10:25:00,85.5 ms
2024-08-06 10:26:00,119 ms
2024-08-06 10:27:00,78.0 ms
2024-08-06 10:28:00,119 ms
2024-08-06 10:29:00,91.3 ms
2024-08-06 10:30:00,91.2 ms
2024-08-06 10:31:00,49.2 ms
2024-08-06 10:32:00,49.3 ms
2024-08-06 10:33:00,56.5 ms
2024-08-06 10:34:00,56.0 ms
2024-08-06 10:35:00,119 ms
2024-08-06 10:36:00,118 ms
2024-08-06 10:37:00,85.5 ms
2024-08-06 10:38:00,91.2 ms
2024-08-06 10:39:00,85.5 ms
2024-08-06 10:40:00,56.0 ms
2024-08-06 10:41:00,56.5 ms
2024-08-06 10:42:00,56.0 ms
2024-08-06 10:43:00,56.5 ms
2024-08-06 10:44:00,49.3 ms
2024-08-06 10:45:00,49.2 ms
2024-08-06 10:46:00,118 ms
2024-08-06 10:47:00,49.1 ms
2024-08-06 10:48:00,56.0 ms
2024-08-06 10:49:00,56.5 ms
2024-08-06 10:50:00,78.0 ms
2024-08-06 10:51:00,56.0 ms
2024-08-06 10:52:00,49.2 ms
2024-08-06 10:53:00,49.3 ms
2024-08-06 10:54:00,78.0 ms
2024-08-06 10:55:00,56.0 ms
2024-08-06 10:56:00,85.3 ms
2024-08-06 10:57:00,285 ms
2024-08-06 10:58:00,285 ms
2024-08-06 10:59:00,285 ms
2024-08-06 11:00:00,206 ms
2024-08-06 11:01:00,186 ms
2024-08-06 11:02:00,228 ms
2024-08-06 11:03:00,232 ms
2024-08-06 11:04:00,206 ms
2024-08-06 11:05:00,118 ms
2024-08-06 11:06:00,78.0 ms
2024-08-06 11:07:00,2.28 s
2024-08-06 11:08:00,2.33 s
2024-08-06 11:09:00,1.36 s
2024-08-06 11:10:00,870 ms
2024-08-06 11:11:00,1.33 s
2024-08-06 11:12:00,1.32 s
2024-08-06 11:13:00,1.34 s
2024-08-06 11:14:00,1.28 s
2024-08-06 11:15:00,224 ms
2024-08-06 11:16:00,119 ms
2024-08-06 11:17:00,49.2 ms
2024-08-06 11:18:00,49.1 ms
2024-08-06 11:19:00,49 ms
2024-08-06 11:20:00,206 ms
2024-08-06 11:21:00,3.95 s
2024-08-06 11:22:00,10 s
2024-08-06 11:29:00,7.50 s
2024-08-06 11:30:00,56.0 ms
2024-08-06 11:31:00,56.0 ms
2024-08-06 11:32:00,78.0 ms
2024-08-06 11:33:00,49.3 ms
2024-08-06 11:34:00,78.0 ms
2024-08-06 11:35:00,1.89 s
2024-08-06 11:36:00,10 s
2024-08-06 13:14:00,163 ms
2024-08-06 13:15:00,185 ms
2024-08-06 13:16:00,119 ms
2024-08-06 13:17:00,91.3 ms
2024-08-06 13:18:00,119 ms
2024-08-06 13:19:00,119 ms
2024-08-06 13:20:00,119 ms
2024-08-06 13:21:00,91.3 ms
2024-08-06 13:22:00,118 ms
2024-08-06 13:23:00,89 ms
2024-08-06 13:24:00,91.3 ms
2024-08-06 13:25:00,78.2 ms
2024-08-06 13:26:00,89.1 ms
2024-08-06 13:27:00,85.5 ms
2024-08-06 13:28:00,118 ms
2024-08-06 13:29:00,185 ms
2024-08-06 13:30:00,185 ms
2024-08-06 13:31:00,119 ms
2024-08-06 13:32:00,92.7 ms
2024-08-06 13:33:00,92.7 ms
2024-08-06 13:34:00,78.2 ms
2024-08-06 13:35:00,89.1 ms
2024-08-06 13:36:00,91.3 ms
2024-08-06 13:37:00,185 ms
2024-08-06 13:38:00,185 ms
2024-08-06 13:39:00,119 ms
2024-08-06 13:40:00,184 ms
2024-08-06 13:41:00,185 ms
2024-08-06 13:42:00,119 ms
2024-08-06 13:43:00,85.5 ms
2024-08-06 13:44:00,56.5 ms
2024-08-06 13:45:00,185 ms
2024-08-06 13:46:00,119 ms
2024-08-06 13:47:00,92.7 ms
2024-08-06 13:48:00,78.2 ms
