"Time","Desired Pods","Actual Pods"
2024-08-06 05:56:00,1,1
2024-08-06 05:56:30,6,5
2024-08-06 05:57:00,6,6
2024-08-06 05:57:30,5,5
2024-08-06 05:58:00,5,5
2024-08-06 05:58:30,5,5
2024-08-06 05:59:00,5,5
2024-08-06 05:59:30,5,5
2024-08-06 06:00:00,5,5
2024-08-06 06:00:30,5,5
2024-08-06 06:01:00,5,5
2024-08-06 06:01:30,5,5
2024-08-06 06:02:00,5,5
2024-08-06 06:02:30,5,5
2024-08-06 06:03:00,5,5
2024-08-06 06:03:30,2,2
2024-08-06 06:04:00,0,0
2024-08-06 06:04:30,0,0
2024-08-06 06:05:00,0,0
2024-08-06 06:05:30,0,0
2024-08-06 06:06:00,0,0
2024-08-06 06:06:30,7,5
2024-08-06 06:07:00,11,11
2024-08-06 06:07:30,10,10
2024-08-06 06:08:00,11,11
2024-08-06 06:08:30,11,11
2024-08-06 06:09:00,11,11
2024-08-06 06:09:30,11,11
2024-08-06 06:10:00,10,10
2024-08-06 06:10:30,10,10
2024-08-06 06:11:00,11,11
2024-08-06 06:11:30,11,11
2024-08-06 06:12:00,10,10
2024-08-06 06:12:30,11,11
2024-08-06 06:13:00,11,11
2024-08-06 06:13:30,7,7
2024-08-06 06:14:00,2,2
2024-08-06 06:14:30,0,0
2024-08-06 06:15:00,0,0
2024-08-06 06:15:30,0,0
2024-08-06 06:16:00,0,0
2024-08-06 06:16:30,0,0
2024-08-06 06:17:00,0,0
2024-08-06 06:17:30,0,0
2024-08-06 06:18:00,0,0
2024-08-06 06:18:30,0,0
2024-08-06 06:19:00,0,0
2024-08-06 06:19:30,0,0
2024-08-06 06:20:00,3,1
2024-08-06 06:20:30,14,10
2024-08-06 06:21:00,24,14
2024-08-06 06:21:30,22,15
2024-08-06 06:22:00,23,16
2024-08-06 06:22:30,23,16
2024-08-06 06:23:00,23,16
2024-08-06 06:23:30,23,16
2024-08-06 06:24:00,23,16
2024-08-06 06:24:30,23,19
2024-08-06 06:25:00,23,19
2024-08-06 06:25:30,23,20
2024-08-06 06:26:00,23,22
2024-08-06 06:26:30,23,23
2024-08-06 06:27:00,20,21
2024-08-06 06:27:30,20,21
2024-08-06 06:28:00,0,0
2024-08-06 06:28:30,0,0
2024-08-06 06:29:00,0,0
2024-08-06 06:29:30,0,0
2024-08-06 06:30:00,0,0
2024-08-06 06:30:30,0,0
2024-08-06 06:31:00,0,0
2024-08-06 06:31:30,0,0
2024-08-06 06:32:00,0,0
2024-08-06 06:32:30,0,0
2024-08-06 06:33:00,0,0
2024-08-06 06:33:30,0,0
2024-08-06 06:34:00,0,0
2024-08-06 06:34:30,0,0
2024-08-06 06:35:00,8,5
2024-08-06 06:35:30,25,9
2024-08-06 06:36:00,41,11
2024-08-06 06:36:30,49,11
2024-08-06 06:37:00,49,13
2024-08-06 06:37:30,49,14
2024-08-06 06:38:00,49,14
2024-08-06 06:38:30,49,14
2024-08-06 06:39:00,49,14
2024-08-06 06:39:30,49,14
2024-08-06 06:40:00,49,14
2024-08-06 06:40:30,49,14
2024-08-06 06:41:00,49,14
2024-08-06 06:41:30,62,0
2024-08-06 06:42:00,62,0
2024-08-06 06:42:30,62,0
2024-08-06 06:43:00,62,0
2024-08-06 06:43:30,62,0
2024-08-06 06:44:00,62,0
2024-08-06 06:46:00,62,0
2024-08-06 06:46:30,62,0
2024-08-06 06:47:00,62,0
