"Time","Memory used"
2024-08-06 05:56:00,109 MB
2024-08-06 05:56:30,127 MB
2024-08-06 05:57:00,389 MB
2024-08-06 05:57:30,389 MB
2024-08-06 05:58:00,391 MB
2024-08-06 05:58:30,394 MB
2024-08-06 05:59:00,394 MB
2024-08-06 05:59:30,395 MB
2024-08-06 06:00:00,395 MB
2024-08-06 06:00:30,395 MB
2024-08-06 06:01:00,396 MB
2024-08-06 06:01:30,396 MB
2024-08-06 06:02:00,396 MB
2024-08-06 06:02:30,330 MB
2024-08-06 06:03:00,330 MB
2024-08-06 06:03:30,330 MB
2024-08-06 06:04:00,330 MB
2024-08-06 06:04:30,330 MB
2024-08-06 06:05:00,330 MB
2024-08-06 06:05:30,330 MB
2024-08-06 06:06:00,330 MB
2024-08-06 06:06:30,330 MB
2024-08-06 06:07:00,1.03 GB
2024-08-06 06:07:30,1.04 GB
2024-08-06 06:08:00,1.04 GB
2024-08-06 06:08:30,913 MB
2024-08-06 06:09:00,843 MB
2024-08-06 06:09:30,846 MB
2024-08-06 06:10:00,846 MB
2024-08-06 06:10:30,909 MB
2024-08-06 06:11:00,976 MB
2024-08-06 06:11:30,976 MB
2024-08-06 06:12:00,977 MB
2024-08-06 06:12:30,914 MB
2024-08-06 06:13:00,1.04 GB
2024-08-06 06:13:30,1.04 GB
2024-08-06 06:14:00,974 MB
2024-08-06 06:14:30,974 MB
2024-08-06 06:15:00,912 MB
2024-08-06 06:15:30,850 MB
2024-08-06 06:16:00,784 MB
2024-08-06 06:16:30,784 MB
2024-08-06 06:17:00,784 MB
2024-08-06 06:17:30,784 MB
2024-08-06 06:18:00,657 MB
2024-08-06 06:18:30,330 MB
2024-08-06 06:20:00,311 MB
2024-08-06 06:20:30,325 MB
2024-08-06 06:21:00,1.09 GB
2024-08-06 06:21:30,1.33 GB
2024-08-06 06:22:00,1.38 GB
2024-08-06 06:22:30,1.28 GB
2024-08-06 06:23:00,1.30 GB
2024-08-06 06:23:30,1.45 GB
2024-08-06 06:24:00,1.49 GB
2024-08-06 06:24:30,1.50 GB
2024-08-06 06:25:00,1.52 GB
2024-08-06 06:25:30,1.54 GB
2024-08-06 06:26:00,1.54 GB
2024-08-06 06:26:30,1.54 GB
2024-08-06 06:27:00,1.50 GB
2024-08-06 06:27:30,1.44 GB
2024-08-06 06:28:00,1.44 GB
2024-08-06 06:28:30,1.44 GB
2024-08-06 06:29:00,1.44 GB
2024-08-06 06:29:30,1.44 GB
2024-08-06 06:30:00,1.44 GB
2024-08-06 06:30:30,1.44 GB
2024-08-06 06:31:00,1.26 GB
2024-08-06 06:31:30,659 MB
2024-08-06 06:32:00,659 MB
2024-08-06 06:32:30,390 MB
2024-08-06 06:35:00,510 MB
2024-08-06 06:35:30,734 MB
2024-08-06 06:36:00,897 MB
2024-08-06 06:36:30,1.59 GB
2024-08-06 06:37:00,1.88 GB
2024-08-06 06:37:30,1.96 GB
2024-08-06 06:38:00,1.96 GB
2024-08-06 06:38:30,1.96 GB
2024-08-06 06:39:00,1.96 GB
2024-08-06 06:39:30,1.96 GB
2024-08-06 06:40:00,1.96 GB
2024-08-06 06:40:30,1.96 GB
2024-08-06 06:41:00,1.96 GB
2024-08-06 06:41:30,1.96 GB
2024-08-06 06:42:00,1.77 GB
