"Time","2xx","4xx"
2024-08-06 10:24:00,0.386 ops/s,0 ops/s
2024-08-06 10:25:00,0.367 ops/s,0 ops/s
2024-08-06 10:26:00,0.378 ops/s,0 ops/s
2024-08-06 10:27:00,0.222 ops/s,0 ops/s
2024-08-06 10:28:00,0.578 ops/s,0 ops/s
2024-08-06 10:29:00,0.556 ops/s,0 ops/s
2024-08-06 10:30:00,0.356 ops/s,0 ops/s
2024-08-06 10:31:00,0.244 ops/s,0 ops/s
2024-08-06 10:32:00,0.233 ops/s,0 ops/s
2024-08-06 10:33:00,0.244 ops/s,0 ops/s
2024-08-06 10:34:00,0.278 ops/s,0 ops/s
2024-08-06 10:35:00,0.267 ops/s,0 ops/s
2024-08-06 10:36:00,0.233 ops/s,0 ops/s
2024-08-06 10:37:00,0.233 ops/s,0 ops/s
2024-08-06 10:38:00,0.289 ops/s,0 ops/s
2024-08-06 10:39:00,0.300 ops/s,0 ops/s
2024-08-06 10:40:00,0.256 ops/s,0 ops/s
2024-08-06 10:41:00,0.244 ops/s,0 ops/s
2024-08-06 10:42:00,0.256 ops/s,0 ops/s
2024-08-06 10:43:00,0.256 ops/s,0 ops/s
2024-08-06 10:44:00,0.289 ops/s,0 ops/s
2024-08-06 10:45:00,0.278 ops/s,0 ops/s
2024-08-06 10:46:00,0.244 ops/s,0 ops/s
2024-08-06 10:47:00,0.222 ops/s,0 ops/s
2024-08-06 10:48:00,0.278 ops/s,0 ops/s
2024-08-06 10:49:00,0.278 ops/s,0 ops/s
2024-08-06 10:50:00,0.256 ops/s,0 ops/s
2024-08-06 10:51:00,0.278 ops/s,0 ops/s
2024-08-06 10:52:00,0.244 ops/s,0 ops/s
2024-08-06 10:53:00,0.222 ops/s,0 ops/s
2024-08-06 10:54:00,0.267 ops/s,0 ops/s
2024-08-06 10:55:00,0.267 ops/s,0 ops/s
2024-08-06 10:56:00,0.422 ops/s,0 ops/s
2024-08-06 10:57:00,1.14 ops/s,0 ops/s
2024-08-06 10:58:00,0.433 ops/s,0 ops/s
2024-08-06 10:59:00,0.333 ops/s,0 ops/s
2024-08-06 11:00:00,0.244 ops/s,0 ops/s
2024-08-06 11:01:00,0.244 ops/s,0 ops/s
2024-08-06 11:02:00,0.267 ops/s,0 ops/s
2024-08-06 11:03:00,0.289 ops/s,0 ops/s
2024-08-06 11:04:00,0.889 ops/s,0 ops/s
2024-08-06 11:05:00,0.789 ops/s,0 ops/s
2024-08-06 11:06:00,0.244 ops/s,0 ops/s
2024-08-06 11:07:00,1.84 ops/s,0 ops/s
2024-08-06 11:08:00,1.08 ops/s,0 ops/s
2024-08-06 11:09:00,0.711 ops/s,0 ops/s
2024-08-06 11:10:00,0.578 ops/s,0 ops/s
2024-08-06 11:11:00,1.02 ops/s,0 ops/s
2024-08-06 11:12:00,0.898 ops/s,0 ops/s
2024-08-06 11:13:00,0.822 ops/s,0 ops/s
2024-08-06 11:14:00,1.56 ops/s,0 ops/s
2024-08-06 11:15:00,1.69 ops/s,0 ops/s
2024-08-06 11:16:00,0.367 ops/s,0 ops/s
2024-08-06 11:17:00,0.244 ops/s,0 ops/s
2024-08-06 11:18:00,0.289 ops/s,0 ops/s
2024-08-06 11:19:00,0.244 ops/s,0 ops/s
2024-08-06 11:20:00,0.856 ops/s,0 ops/s
2024-08-06 11:21:00,2.25 ops/s,0 ops/s
2024-08-06 11:22:00,2.38 ops/s,0 ops/s
2024-08-06 11:29:00,1.67 ops/s,0 ops/s
2024-08-06 11:30:00,0.278 ops/s,0 ops/s
2024-08-06 11:31:00,0.256 ops/s,0 ops/s
2024-08-06 11:32:00,0.233 ops/s,0 ops/s
2024-08-06 11:33:00,0.289 ops/s,0 ops/s
2024-08-06 11:34:00,0.256 ops/s,0 ops/s
2024-08-06 11:35:00,1.34 ops/s,0 ops/s
2024-08-06 11:36:00,2.52 ops/s,0 ops/s
2024-08-06 13:14:00,0.200 ops/s,0 ops/s
2024-08-06 13:15:00,0.400 ops/s,0 ops/s
2024-08-06 13:16:00,0.444 ops/s,0 ops/s
2024-08-06 13:17:00,0.400 ops/s,0 ops/s
2024-08-06 13:18:00,0.267 ops/s,0 ops/s
2024-08-06 13:19:00,0.278 ops/s,0 ops/s
2024-08-06 13:20:00,0.333 ops/s,0 ops/s
2024-08-06 13:21:00,0.267 ops/s,0 ops/s
2024-08-06 13:22:00,0.244 ops/s,0 ops/s
2024-08-06 13:23:00,0.244 ops/s,0 ops/s
2024-08-06 13:24:00,0.222 ops/s,0 ops/s
2024-08-06 13:25:00,0.267 ops/s,0 ops/s
2024-08-06 13:26:00,0.267 ops/s,0 ops/s
2024-08-06 13:27:00,0.267 ops/s,0 ops/s
2024-08-06 13:28:00,0.289 ops/s,0 ops/s
2024-08-06 13:29:00,0.300 ops/s,0 ops/s
2024-08-06 13:30:00,0.233 ops/s,0 ops/s
2024-08-06 13:31:00,0.233 ops/s,0 ops/s
2024-08-06 13:32:00,0.256 ops/s,0 ops/s
2024-08-06 13:33:00,0.233 ops/s,0 ops/s
2024-08-06 13:34:00,0.233 ops/s,0 ops/s
2024-08-06 13:35:00,0.322 ops/s,0 ops/s
2024-08-06 13:36:00,0.311 ops/s,0 ops/s
2024-08-06 13:37:00,0.289 ops/s,0 ops/s
2024-08-06 13:38:00,0.233 ops/s,0 ops/s
2024-08-06 13:39:00,0.267 ops/s,0 ops/s
2024-08-06 13:40:00,0.222 ops/s,0 ops/s
2024-08-06 13:41:00,0.233 ops/s,0 ops/s
2024-08-06 13:42:00,0.278 ops/s,0 ops/s
2024-08-06 13:43:00,0.289 ops/s,0 ops/s
2024-08-06 13:44:00,0.267 ops/s,0 ops/s
2024-08-06 13:45:00,0.233 ops/s,0 ops/s
2024-08-06 13:46:00,0.244 ops/s,0 ops/s
2024-08-06 13:47:00,0.256 ops/s,0 ops/s
2024-08-06 13:48:00,0.300 ops/s,0 ops/s
