"Time","knative.dev.eventing.pkg.reconciler.source.crd.Reconciler","knative.dev.eventing.pkg.reconciler.sugar.namespace.Reconciler","knative.dev.serving.pkg.reconciler.configuration.Reconciler","knative.dev.serving.pkg.reconciler.gc.reconciler","knative.dev.serving.pkg.reconciler.labeler.Reconciler","knative.dev.serving.pkg.reconciler.nscert.reconciler","knative.dev.serving.pkg.reconciler.revision.Reconciler","knative.dev.serving.pkg.reconciler.route.Reconciler","knative.dev.serving.pkg.reconciler.serverlessservice.reconciler","knative.dev.serving.pkg.reconciler.service.Reconciler"
2024-08-06 05:56:30,0,0,18,18,18,0,80,18,16,0
2024-08-06 05:57:00,0,0,2,2,2,0,6,2,4,0
2024-08-06 05:57:30,0,0,4,4,4,0,12,4,2,0
2024-08-06 05:58:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 05:58:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 05:59:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 05:59:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:00:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:00:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:01:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:01:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:02:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:02:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:03:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:03:30,0,0,10,10,10,0,38,10,6,0
2024-08-06 06:04:00,0,0,8,8,8,0,24,8,6,0
2024-08-06 06:04:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:05:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:05:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:06:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:06:30,0,0,22,22,22,0,86,22,22,0
2024-08-06 06:07:00,0,0,24,24,24,0,102,24,28,0
2024-08-06 06:07:30,0,0,4,4,4,0,12,4,2,0
2024-08-06 06:08:00,0,0,8,8,8,0,32,8,8,0
2024-08-06 06:08:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:09:00,0,0,6,6,6,0,20,6,4,0
2024-08-06 06:09:30,0,0,2.00,2.00,2.00,0,4.00,2.00,2.00,0
2024-08-06 06:10:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:10:30,0,0,10,10,10,0,38,10,8,0
2024-08-06 06:11:00,0,0,4,4,4,0,16,4,4,0
2024-08-06 06:11:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:12:00,0,0,4,4,4,0,10,4,2,0
2024-08-06 06:12:30,0,0,3.99,3.99,3.99,0,19.9,3.99,3.99,0
2024-08-06 06:13:00,0,0,6.02,6.02,6.02,0,18.1,6.02,4.01,0
2024-08-06 06:13:30,0,0,20,20,20,0,52,20,14,0
2024-08-06 06:14:00,0,0,16,16,16,0,60,16,10,0
2024-08-06 06:14:30,0,0,8,8,8,0,26,8,6,0
2024-08-06 06:15:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:15:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:16:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:16:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:17:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:17:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:18:00,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:18:30,0,0,0,0,0,0,0,0,0,0
2024-08-06 06:19:00,0,0,0,0,0,0,0,0,0,0
