"Time","192.168.49.2:10250 DELETE ","192.168.49.2:10250 GET ","192.168.49.2:10250 PATCH ","192.168.49.2:10250 POST ","192.168.49.2:10250 PUT "
2024-08-06 10:24:00,,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 10:25:00,,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 10:26:00,,24.2 ms,98.5 ms,93.3 ms,24.8 ms
2024-08-06 10:27:00,,23.2 ms,NaN,24.8 ms,24.8 ms
2024-08-06 10:28:00,NaN,23.5 ms,93.3 ms,24.8 ms,24.8 ms
2024-08-06 10:29:00,89.8 ms,23.6 ms,97.8 ms,97.0 ms,24.8 ms
2024-08-06 10:30:00,89.8 ms,22.4 ms,98.1 ms,24.6 ms,24.8 ms
2024-08-06 10:31:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 10:32:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 10:33:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 10:34:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 10:35:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 10:36:00,NaN,4.95 ms,NaN,NaN,24.8 ms
2024-08-06 10:37:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 10:38:00,NaN,4.95 ms,24.8 ms,NaN,24.8 ms
2024-08-06 10:39:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 10:40:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 10:41:00,NaN,4.95 ms,NaN,4.95 ms,93.3 ms
2024-08-06 10:42:00,NaN,4.95 ms,NaN,NaN,93.3 ms
2024-08-06 10:43:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 10:44:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 10:45:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 10:46:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 10:47:00,NaN,4.95 ms,NaN,4.95 ms,24.8 ms
2024-08-06 10:48:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 10:49:00,NaN,4.95 ms,24.8 ms,4.95 ms,24.8 ms
2024-08-06 10:50:00,NaN,23.2 ms,NaN,4.95 ms,24.8 ms
2024-08-06 10:51:00,NaN,23.2 ms,NaN,NaN,24.8 ms
