"Time","192.168.49.2:10250 verify_controller_attached_volume kubernetes.io/host-path","192.168.49.2:10250 verify_controller_attached_volume kubernetes.io/projected","192.168.49.2:10250 volume_apply_access_control kubernetes.io/empty-dir","192.168.49.2:10250 volume_apply_access_control kubernetes.io/projected","192.168.49.2:10250 volume_apply_access_control kubernetes.io/secret","192.168.49.2:10250 volume_mount kubernetes.io/configmap","192.168.49.2:10250 volume_mount kubernetes.io/empty-dir","192.168.49.2:10250 volume_mount kubernetes.io/host-path","192.168.49.2:10250 volume_mount kubernetes.io/projected","192.168.49.2:10250 volume_mount kubernetes.io/secret","192.168.49.2:10250 volume_unmount kubernetes.io/projected"
2024-08-06 10:24:00,NaN,,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,NaN,
2024-08-06 10:25:00,NaN,,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,
2024-08-06 10:26:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,
2024-08-06 10:27:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,
2024-08-06 10:28:00,NaN,99.0 ms,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99 ms,NaN
2024-08-06 10:29:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99 ms,99.0 ms
2024-08-06 10:30:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,99.0 ms
2024-08-06 10:31:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 10:32:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99 ms,NaN
2024-08-06 10:33:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 10:34:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 10:35:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 10:36:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 10:37:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 10:38:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 10:39:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99 ms,NaN
2024-08-06 10:40:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 10:41:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 10:42:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99 ms,NaN
2024-08-06 10:43:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99 ms,NaN
2024-08-06 10:44:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 10:45:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 10:46:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 10:47:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99 ms,NaN
2024-08-06 10:48:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 10:49:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 10:50:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99 ms,NaN
2024-08-06 10:51:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99 ms,NaN
2024-08-06 10:52:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 10:53:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 10:54:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 10:55:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 10:56:00,NaN,99.0 ms,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99 ms,NaN
2024-08-06 10:57:00,NaN,99 ms,NaN,NaN,NaN,99 ms,NaN,NaN,166 ms,99 ms,NaN
2024-08-06 10:58:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99 ms,99.0 ms
2024-08-06 10:59:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,99.0 ms
2024-08-06 11:00:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99 ms,NaN
2024-08-06 11:01:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 11:02:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 11:03:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99 ms,NaN
2024-08-06 11:04:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99 ms,99.0 ms
2024-08-06 11:05:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99 ms,99.0 ms
2024-08-06 11:06:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 11:07:00,NaN,99 ms,NaN,NaN,NaN,99.0 ms,NaN,NaN,143 ms,99.0 ms,NaN
2024-08-06 11:08:00,NaN,99.0 ms,NaN,NaN,NaN,99 ms,NaN,NaN,157 ms,99 ms,99.0 ms
2024-08-06 11:09:00,NaN,99 ms,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99 ms,99 ms
2024-08-06 11:10:00,NaN,99 ms,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,99 ms
2024-08-06 11:11:00,NaN,99.0 ms,NaN,99.0 ms,NaN,99 ms,NaN,NaN,173 ms,99 ms,99.0 ms
2024-08-06 11:12:00,NaN,NaN,NaN,99 ms,NaN,99.0 ms,NaN,NaN,99 ms,99 ms,99 ms
2024-08-06 11:13:00,NaN,99.0 ms,NaN,99.0 ms,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,99.0 ms
2024-08-06 11:14:00,NaN,99.0 ms,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,99.0 ms
2024-08-06 11:15:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99 ms,99 ms
2024-08-06 11:16:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99.0 ms,99.0 ms,99.0 ms
2024-08-06 11:17:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 11:18:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 11:19:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 11:20:00,NaN,99.0 ms,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 11:21:00,NaN,99 ms,NaN,NaN,NaN,99 ms,NaN,NaN,337 ms,99 ms,NaN
2024-08-06 11:22:00,NaN,99.0 ms,NaN,NaN,NaN,99.0 ms,NaN,NaN,228 ms,99.0 ms,NaN
2024-08-06 11:29:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,99 ms
2024-08-06 11:30:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 11:31:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 11:32:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 11:33:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99.0 ms,99 ms,NaN
2024-08-06 11:34:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99 ms,NaN
2024-08-06 11:35:00,NaN,99 ms,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 11:36:00,NaN,99 ms,NaN,NaN,NaN,99 ms,NaN,NaN,233 ms,99 ms,NaN
2024-08-06 13:14:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99 ms,NaN
2024-08-06 13:15:00,NaN,99.0 ms,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 13:16:00,NaN,99.0 ms,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 13:17:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,99.0 ms
2024-08-06 13:18:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99 ms,NaN
2024-08-06 13:19:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 13:20:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
2024-08-06 13:21:00,NaN,NaN,NaN,NaN,NaN,99 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 13:22:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99.0 ms,99.0 ms,NaN
2024-08-06 13:23:00,NaN,NaN,NaN,NaN,NaN,99.0 ms,NaN,NaN,99 ms,99.0 ms,NaN
